,ID,title,tags
0,1,Gilead,"marilynne_robinson,fiction,2004"
1,2,Spider's Web,"charles_osborne;agatha_christie,detective_and_mystery_stories,2000"
2,3,The One Tree,"stephen_r_donaldson,american_fiction,1982"
3,4,Rage of angels,"sidney_sheldon,fiction,1993"
4,5,The Four Loves,"clive_staples_lewis,christian_life,2002"
5,6,The Problem of Pain,"clive_staples_lewis,christian_life,2002"
6,7,An Autobiography,"agatha_christie,authors,_english,1977"
7,8,Empires of the Monsoon,"richard_hall,africa,_east,1998"
8,9,The Gap Into Madness,"stephen_r_donaldson,hyland,_morn_(fictitious_character),1994"
9,10,Master of the Game,"sidney_sheldon,adventure_stories,1982"
10,11,If Tomorrow Comes,"sidney_sheldon,adventure_stories,1994"
11,12,Assassin's Apprentice,"robin_hobb,american_fiction,1996"
12,13,Warhost of Vastmark,"janny_wurts,fiction,1995"
13,14,The Once and Future King,"terence_hanbury_white,arthurian_romances,1996"
14,15,Murder in LaMut,"raymond_e_feist;joel_rosenberg,adventure_stories,2003"
15,16,Jimmy the Hand,"raymond_e_feist;s_m_stirling,fantasy_fiction,2003"
16,17,Well of Darkness,"margaret_weis;tracy_hickman,_,2001"
17,18,Witness for the Prosecution & Selected Plays,"agatha_christie,english_drama,1995"
18,19,The Little House,"philippa_gregory,country_life,1998"
19,20,Mystical Paths,"susan_howatch,english_fiction,1996"
20,21,Glittering Images,"susan_howatch,english_fiction,1996"
21,22,Glamorous Powers,"susan_howatch,clergy,1996"
22,23,The Mad Ship,"robin_hobb,fantasy_fiction,2000"
23,24,Post Captain,"patrick_o'brian,aubrey,_jack_(fictitious_character),1996"
24,25,The Reverse of the Medal,"patrick_o'brian,adventure_stories,1997"
25,26,Miss Marple,"agatha_christie,detective_and_mystery_stories,_english,1997"
26,27,The Years of Rice and Salt,"kim_stanley_robinson,black_death,2003"
27,28,Spares,"michael_marshall_smith,human_cloning,1998"
28,29,Gravity,"tess_gerritsen,science_fiction,2004"
29,30,The Wise Woman,"philippa_gregory,great_britain,2002"
30,31,Girls' Night in,"jessica_adams;chris_manby;fiona_walker,american_fiction,2000"
31,32,The White Album,"joan_didion,american_essays,1993"
32,33,The Bonesetter's Daughter,"amy_tan,china,2001"
33,34,The Lexus and the Olive Tree,"thomas_l_friedman,capitalism,2000"
34,35,'Tis,"frank_mccourt,ireland,2000"
35,36,Ocean Star Express,"mark_haddon;peter_sutton,juvenile_fiction,2002"
36,37,A Small Pinch of Weather,"joan_aiken,children's_stories,_english,2000"
37,38,The Princess of the Chalet School,"elinor_mary_brent-dyer,juvenile_fiction,2000"
38,39,Koko,"peter_straub,male_friendship,2001"
39,40,Tree and Leaf,"john_ronald_reuel_tolkien,literary_collections,2001"
